Scenario,Object Type,Object Name,Data Item,Statistic Type,Average,NumberOfWorkers,BagInterarrivalTime(Minutes)
Scenario1,Server,SrvCollection,TimeProcessing,Average (Minutes),0.2,1,Random.Exponential(0.5)
Scenario2,Server,SrvCollection,TimeProcessing,Average (Minutes),0.2,1,Random.Exponential(0.2)
Scenario3,Server,SrvCollection,TimeProcessing,Average (Minutes),0.26,2,Random.Exponential(0.5)
Scenario4,Server,SrvCollection,TimeProcessing,Average (Minutes),0.26,2,Random.Exponential(0.5)
Scenario1,Server,SrvInspection,TimeProcessing,Average (Minutes),116.08,1,Random.Exponential(0.5)
Scenario2,Server,SrvInspection,TimeProcessing,Average (Minutes),299.87,1,Random.Exponential(0.2)
Scenario3,Server,SrvInspection,TimeProcessing,Average (Minutes),0.77,2,Random.Exponential(0.5)
Scenario4,Server,SrvInspection,TimeProcessing,Average (Minutes),0.78,2,Random.Exponential(0.5)
Scenario1,Server,SrvMissedComplaint,TimeProcessing,Average (Minutes),274.42,1,Random.Exponential(0.5)
Scenario2,Server,SrvMissedComplaint,TimeProcessing,Average (Minutes),295.32,1,Random.Exponential(0.2)
Scenario3,Server,SrvMissedComplaint,TimeProcessing,Average (Minutes),291.23,2,Random.Exponential(0.5)
Scenario4,Server,SrvMissedComplaint,TimeProcessing,Average (Minutes),291.23,2,Random.Exponential(0.5)
Scenario1,Server,SrvViolation,TimeProcessing,Average (Minutes),2.71,1,Random.Exponential(0.5)
Scenario2,Server,SrvViolation,TimeProcessing,Average (Minutes),2.85,1,Random.Exponential(0.2)
Scenario3,Server,SrvViolation,TimeProcessing,Average (Minutes),3.25,2,Random.Exponential(0.5)
Scenario4,Server,SrvViolation,TimeProcessing,Average (Minutes),3.25,2,Random.Exponential(0.5)
